sentiment,type,term,count
negative,unigram,eur,934
negative,unigram,mn,658
negative,unigram,profit,650
negative,unigram,net,597
negative,unigram,rs,436
negative,unigram,year,347
negative,unigram,loss,337
negative,unigram,sales,311
negative,unigram,quarter,298
negative,unigram,operating,280
negative,unigram,finnish,269
negative,unigram,company,256
neutral,unigram,rs,342
neutral,unigram,company,341
neutral,unigram,market,251
neutral,unigram,new,238
neutral,unigram,crore,229
neutral,unigram,eur,222
neutral,unigram,sebi,211
neutral,unigram,net,194
neutral,unigram,india,183
neutral,unigram,group,171
neutral,unigram,shares,161
neutral,unigram,million,161
positive,unigram,net,784
positive,unigram,rs,673
positive,unigram,profit,599
positive,unigram,eur,588
positive,unigram,crore,442
positive,unigram,year,352
positive,unigram,mn,321
positive,unigram,sales,282
positive,unigram,company,277
positive,unigram,finnish,250
positive,unigram,said,248
positive,unigram,million,225
negative,bigram,eur mn,290
negative,bigram,net profit,203
negative,bigram,operating profit,163
negative,bigram,mn eur,152
negative,bigram,net sales,136
negative,bigram,corresponding period,126
negative,bigram,profit eur,96
negative,bigram,net loss,96
neutral,bigram,ashwani gujral,72
neutral,bigram,net sales,70
neutral,bigram,net profit,69
neutral,bigram,mitesh thacker,59
neutral,bigram,raise rs,54
neutral,bigram,profit rs,46
neutral,bigram,mln euro,43
neutral,bigram,managing director,35
positive,bigram,net profit,285
positive,bigram,operating profit,141
positive,bigram,net sales,133
positive,bigram,q1 net,107
positive,bigram,eur mn,106
positive,bigram,mn eur,92
positive,bigram,q2 net,89
positive,bigram,q4 net,86
