sentence,sentiment,char_len,word_len,digit_count,has_number,has_percent,has_currency
"""PSUs languishing in valuations, but offer pockets of hope""",negative,59,9,0,False,False,False
"""PSUs languishing in valuations, but offer pockets of hope""",neutral,59,9,0,False,False,False
"""With investors steering clear, infra bonds by banks may see early death""",negative,73,12,0,False,False,False
"""With investors steering clear, infra bonds by banks may see early death""",neutral,73,12,0,False,False,False
17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,negative,204,38,6,True,False,False
17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,negative,204,38,6,True,False,False
17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,negative,204,38,6,True,False,False
17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,neutral,204,38,6,True,False,False
18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,negative,86,17,6,True,False,False
18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,negative,86,17,6,True,False,False
18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,neutral,86,17,6,True,False,False
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",negative,233,43,17,True,False,False
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",negative,233,43,17,True,False,False
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",negative,233,43,17,True,False,False
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",neutral,233,43,17,True,False,False
30 November 2009 - Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .,negative,224,40,6,True,False,False
30 November 2009 - Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .,negative,224,40,6,True,False,False
30 November 2009 - Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .,neutral,224,40,6,True,False,False
A total of 140 jobs will be reduced at the Raahe Steel Works .,negative,62,14,3,True,False,False
A total of 140 jobs will be reduced at the Raahe Steel Works .,negative,62,14,3,True,False,False
A total of 140 jobs will be reduced at the Raahe Steel Works .,neutral,62,14,3,True,False,False
"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",negative,219,42,28,True,False,False
"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",negative,219,42,28,True,False,False
"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",negative,219,42,28,True,False,False
"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",neutral,219,42,28,True,False,False
"ADP News - May 29 , 2009 - Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Enso Oyj HEL : STERV and on Finnish sector player UPM-Kymmene Oyj HEL : UPM1V to `` underperf",negative,207,39,7,True,False,False
"ADP News - May 29 , 2009 - Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Enso Oyj HEL : STERV and on Finnish sector player UPM-Kymmene Oyj HEL : UPM1V to `` underperf",negative,207,39,7,True,False,False
"ADP News - May 29 , 2009 - Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Enso Oyj HEL : STERV and on Finnish sector player UPM-Kymmene Oyj HEL : UPM1V to `` underperf",negative,207,39,7,True,False,False
"ADP News - May 29 , 2009 - Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Enso Oyj HEL : STERV and on Finnish sector player UPM-Kymmene Oyj HEL : UPM1V to `` underperf",neutral,207,39,7,True,False,False
"ADPnews - Aug 3 , 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 .",negative,178,40,16,True,True,False
"ADPnews - Aug 3 , 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 .",negative,178,40,16,True,True,False
"ADPnews - Aug 3 , 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 .",negative,178,40,16,True,True,False
"ADPnews - Aug 3 , 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 .",neutral,178,40,16,True,True,False
"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 .",negative,124,20,4,True,False,False
"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 .",negative,124,20,4,True,False,False
"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 .",negative,124,20,4,True,False,False
"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 .",neutral,124,20,4,True,False,False
"All the ferries had run into trouble just outside the Stockholm archipelago , made up of more than 20,000 islands .",negative,115,21,5,True,False,False
"All the ferries had run into trouble just outside the Stockholm archipelago , made up of more than 20,000 islands .",negative,115,21,5,True,False,False
"All the ferries had run into trouble just outside the Stockholm archipelago , made up of more than 20,000 islands .",negative,115,21,5,True,False,False
"All the ferries had run into trouble just outside the Stockholm archipelago , made up of more than 20,000 islands .",neutral,115,21,5,True,False,False
"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",negative,215,40,0,False,False,False
"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",negative,215,40,0,False,False,False
"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",neutral,215,40,0,False,False,False
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",negative,144,25,5,True,True,False
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",negative,144,25,5,True,True,False
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",neutral,144,25,5,True,True,False
As a result some 20 persons will no longer be needed .,negative,54,12,2,True,False,False
As a result some 20 persons will no longer be needed .,negative,54,12,2,True,False,False
As a result some 20 persons will no longer be needed .,neutral,54,12,2,True,False,False
"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .",negative,91,18,4,True,True,False
"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .",negative,91,18,4,True,True,False
"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .",negative,91,18,4,True,True,False
"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .",neutral,91,18,4,True,True,False
Asian shares flat as investors digest Greek deal,negative,48,8,0,False,False,False
Asian shares flat as investors digest Greek deal,neutral,48,8,0,False,False,False
Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,negative,121,22,0,False,False,False
Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,negative,121,22,0,False,False,False
Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,negative,121,22,0,False,False,False
Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,neutral,121,22,0,False,False,False
"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .",negative,141,31,26,True,False,False
"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .",negative,141,31,26,True,False,False
"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .",negative,141,31,26,True,False,False
"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .",neutral,141,31,26,True,False,False
"At the close , the OMX Helsinki 25 was 0.01 pct lower at 3,067.64 points and the OMX Helsinki was down 0.05 pct at 10,321.46 points on over 1.343 bln eur of turnover .",negative,167,34,25,True,False,False
"At the close , the OMX Helsinki 25 was 0.01 pct lower at 3,067.64 points and the OMX Helsinki was down 0.05 pct at 10,321.46 points on over 1.343 bln eur of turnover .",negative,167,34,25,True,False,False
"At the close , the OMX Helsinki 25 was 0.01 pct lower at 3,067.64 points and the OMX Helsinki was down 0.05 pct at 10,321.46 points on over 1.343 bln eur of turnover .",negative,167,34,25,True,False,False
"At the close , the OMX Helsinki 25 was 0.01 pct lower at 3,067.64 points and the OMX Helsinki was down 0.05 pct at 10,321.46 points on over 1.343 bln eur of turnover .",neutral,167,34,25,True,False,False
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .",negative,294,56,10,True,True,False
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .",negative,294,56,10,True,True,False
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .",negative,294,56,10,True,True,False
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .",neutral,294,56,10,True,True,False
Carl Icahn says his firm sold remainder of Netflix stake,negative,56,10,0,False,False,False
Carl Icahn says his firm sold remainder of Netflix stake,neutral,56,10,0,False,False,False
Cash Flow from Operations for the most recent quarter also reached a eight year low .,negative,85,16,0,False,False,False
Cash Flow from Operations for the most recent quarter also reached a eight year low .,negative,85,16,0,False,False,False
Cash Flow from Operations for the most recent quarter also reached a eight year low .,negative,85,16,0,False,False,False
Cash Flow from Operations for the most recent quarter also reached a eight year low .,neutral,85,16,0,False,False,False
"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",negative,136,25,13,True,True,False
"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",negative,136,25,13,True,True,False
"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",negative,136,25,13,True,True,False
"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",neutral,136,25,13,True,True,False
"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",negative,143,23,10,True,False,False
"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",negative,143,23,10,True,False,False
"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",negative,143,23,10,True,False,False
"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",neutral,143,23,10,True,False,False
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,negative,119,21,14,True,True,False
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,negative,119,21,14,True,True,False
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,negative,119,21,14,True,True,False
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,neutral,119,21,14,True,True,False
Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,negative,92,19,5,True,False,False
Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,negative,92,19,5,True,False,False
Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,negative,92,19,5,True,False,False
Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,neutral,92,19,5,True,False,False
"Currently , the company foresees its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit .",negative,197,33,16,True,False,False
"Currently , the company foresees its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit .",negative,197,33,16,True,False,False
"Currently , the company foresees its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit .",negative,197,33,16,True,False,False
"Currently , the company foresees its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit .",neutral,197,33,16,True,False,False
"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",negative,98,21,3,True,False,False
"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",negative,98,21,3,True,False,False
"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",negative,98,21,3,True,False,False
"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",neutral,98,21,3,True,False,False
"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 .",negative,70,16,6,True,False,False
"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 .",negative,70,16,6,True,False,False
"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 .",negative,70,16,6,True,False,False
"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 .",neutral,70,16,6,True,False,False
